Date,Total volume
2024-06-01,19440
2024-07-01,18697
2024-08-01,17514
2024-09-01,17982
2024-10-01,18787
2024-11-01,16959
2024-12-01,16113
2025-01-01,16647
2025-02-01,17015
2025-03-01,18253
2025-04-01,19487
2025-05-01,17609
2025-06-01,16198
2025-07-01,18992
2025-08-01,19841
2025-09-01,19786
2025-10-01,20924
2025-11-01,19722
2025-12-01,18998
2026-01-01,18138
2026-02-01,19515
2026-03-01,19164
2026-04-01,12925
2026-05-01,16494
